Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-593.3744	-741.9535	148.5791	0.1266809	2.065927	1.000125
6	-597.378	-746.2421	148.8641	0.1284702	1.881556	0.8855916
12	-601.935	-750.679	148.744	0.1676867	1.881556	0.8639421
18	-604.5228	-752.9706	148.4478	0.3122685	1.818736	0.8227683
24	-598.4644	-746.1054	147.6411	0.2411007	1.286145	2.03201
30	-589.1619	-735.2035	146.0417	0.2052765	0.9983968	3.262531
36	-589.985	-737.2411	147.2562	0.3001484	1.163808	2.26671
42	-594.2496	-740.8877	146.6381	0.2878991	1.008181	2.767862
48	-588.6658	-734.7196	146.0538	0.2097942	1.015697	3.237342
54	-584.0564	-730.4523	146.396	0.6353413	0.9517719	2.567933
60	-594.7204	-742.2442	147.5238	0.3689242	1.302679	1.900581
66	-593.7002	-741.7437	148.0436	0.3300268	1.251448	1.630836
72	-586.155	-733.8654	147.7104	0.2955554	1.106335	2.014812
78	-594.0593	-741.5756	147.5164	0.4959628	1.397497	1.678105
84	-595.7326	-743.2276	147.495	0.180433	1.043988	2.396784
90	-585.097	-733.3988	148.3018	0.2560967	1.32577	1.515515
96	-584.9221	-733.4391	148.5171	0.1315223	1.494477	1.515515
102	-575.9796	-724.3538	148.3742	0.2478594	1.470967	1.365205
108	-581.2941	-729.1619	147.8678	0.1678068	1.195696	2.085404
114	-587.5661	-736.3615	148.7954	0.07088996	1.239745	1.685179
120	-611.5004	-759.8929	148.3925	0.1601064	1.588657	1.461753
126	-602.5005	-751.5052	149.0048	0.1615249	1.577296	0.9360471
132	-611.3479	-759.9624	148.6145	0.1615249	1.649005	1.233197
138	-615.1376	-762.8621	147.7245	0.3878032	1.571464	1.542579
144	-600.7791	-749.6279	148.8488	0.1214642	1.839195	0.9769786
150	-607.8704	-756.6276	148.7573	0.1240463	1.568238	1.29356
156	-609.9309	-758.358	148.4271	0.1240463	1.341769	1.712003
162	-596.4237	-745.4251	149.0015	0.06344934	1.673681	1.222833
168	-600.1951	-748.7401	148.545	0.09739415	1.950841	1.242378
174	-596.2446	-744.2872	148.0426	0.2115941	1.7718	1.466257
180	-595.0849	-742.8742	147.7893	0.1533696	1.118332	2.218678
186	-597.6859	-746.2219	148.536	0.1970094	1.331214	1.458807
192	-592.8134	-741.6055	148.7921	0.1416971	1.490047	1.275117
198	-597.0456	-746.0681	149.0226	0.1399628	1.544322	1.02838
204	-600.1268	-748.8491	148.7224	0.2174264	1.468351	1.146921
210	-607.3172	-755.8049	148.4877	0.2121084	2.163177	0.6030701
216	-604.0037	-752.4695	148.4659	0.2242902	2.163177	0.5565261
222	-597.8763	-746.308	148.4318	0.2891417	2.013474	0.6140276
228	-595.8753	-744.8491	148.9738	0.07528724	2.182371	0.5869878
234	-609.4685	-757.8739	148.4054	0.2189116	1.661932	1.249235
240	-615.2733	-763.7521	148.4789	0.1280028	1.624683	1.45616
246	-609.2066	-758.0407	148.8341	0.1090375	1.403897	1.410312
252	-615.8599	-764.2055	148.3457	0.2660067	1.403897	1.40355
258	-616.1541	-764.6385	148.4844	0.2147054	1.752778	1.112171
264	-597.03	-745.6962	148.6662	0.1162263	1.752778	1.241613
270	-594.6664	-742.7152	148.0488	0.08157913	1.362383	2.076622
276	-598.0008	-746.531	148.5302	0.195151	1.276535	1.50869
282	-589.0009	-737.048	148.0471	0.1658032	1.178653	1.982209
288	-594.3807	-741.4683	147.0876	0.4896288	1.395188	1.982209
294	-592.5459	-740.2094	147.6635	0.4692241	1.282868	1.687249
300	-590.7284	-738.0361	147.3077	0.1299176	1.354364	2.42917
306	-588.3376	-736.4506	148.1129	0.2597563	1.459234	1.549676
312	-588.8211	-737.1669	148.3458	0.2204253	1.490262	1.430437
318	-595.7513	-742.2259	146.4746	0.4142585	1.19078	2.591918
324	-603.0647	-751.2238	148.159	0.1753239	1.338384	1.775824
330	-600.6403	-748.3135	147.6733	0.1753239	1.228478	2.175061
336	-607.2772	-755.3381	148.0608	0.3188063	1.112151	1.735343
342	-596.1317	-744.3985	148.2668	0.1679276	1.312652	1.735343
348	-591.8684	-739.9046	148.0362	0.2253162	1.3652	1.738423
354	-597.147	-745.5374	148.3904	0.2160171	1.238018	1.594948
360	-607.9353	-755.6614	147.726	0.08475767	1.341024	2.290476
366	-597.8492	-744.5988	146.7496	0.1155382	1.115949	2.952884
372	-604.0462	-751.8671	147.821	0.07923034	1.314577	2.262763
378	-596.4043	-745.3921	148.9878	0.07923034	1.486769	1.326094
384	-590.0687	-738.4135	148.3448	0.2358734	1.569273	1.335914
390	-596.6705	-745.2824	148.6119	0.1397783	1.569273	1.362083
