Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-588.8952	-736.6686	147.7734	0.1671749	1.291208	2.085998
6	-599.3351	-746.8036	147.4685	0.1736463	1.402385	2.198586
12	-596.4721	-743.9651	147.493	0.36687	1.23382	1.970617
18	-600.5013	-748.4372	147.9358	0.1544212	1.601946	1.796172
24	-604.6338	-752.1449	147.5111	0.1734532	1.463578	2.131487
30	-594.6013	-742.9497	148.3483	0.1912802	1.518478	1.472377
36	-592.3462	-740.8576	148.5114	0.1302839	1.615632	1.431649
42	-588.344	-736.8677	148.5237	0.2119481	1.868816	0.9702349
48	-589.1134	-738.3346	149.2211	0.06919575	1.76044	0.9054309
54	-582.819	-731.1553	148.3363	0.1695988	1.814985	1.303671
60	-584.9646	-733.5987	148.6341	0.1697467	1.924144	0.9322971
66	-594.2421	-743.1543	148.9122	0.1243623	2.025434	0.6155448
72	-587.7204	-736.3805	148.6601	0.1405128	2.240234	0.4904179
78	-602.4886	-751.2455	148.7569	0.1156744	2.237645	0.5127042
84	-596.3967	-745.5219	149.1252	0.1274994	1.787625	0.6464812
90	-604.2651	-752.4383	148.1733	0.4035364	1.714399	1.029076
96	-604.502	-753.5568	149.0548	0.09083527	1.616475	1.114741
102	-601.0238	-749.8398	148.816	0.1277687	1.360373	1.400829
108	-599.9025	-748.1341	148.2316	0.2630537	1.317369	1.560594
114	-600.9929	-749.1741	148.1812	0.1618932	1.431579	1.726065
120	-599.2881	-747.8298	148.5417	0.1440418	1.176572	1.69529
126	-597.9995	-745.9696	147.9701	0.09046054	1.191503	2.213352
132	-593.5119	-740.5237	147.0117	0.2281221	1.029375	2.619726
138	-598.5699	-746.9481	148.3782	0.1231552	1.208378	1.841276
144	-601.3611	-749.0441	147.683	0.1231552	1.280047	2.254208
150	-604.3457	-750.7875	146.4417	0.2086529	1.098188	2.958797
156	-611.7678	-758.017	146.2492	0.4002557	0.7659353	3.004176
162	-616.3409	-763.0887	146.7478	0.2077918	0.9739681	2.850478
168	-617.3025	-764.0602	146.7577	0.1161247	1.037336	2.993893
174	-622.7016	-768.7243	146.0227	0.3427857	0.636238	3.28524
180	-620.8926	-766.6938	145.8012	0.1616695	1.08938	3.431026
186	-605.1875	-752.9103	147.7228	0.06719352	1.248384	2.40358
192	-602.7656	-750.9517	148.186	0.2057908	1.234039	1.764449
198	-592.2443	-740.6543	148.41	0.1681193	1.374062	1.58849
204	-598.3457	-745.6395	147.2938	0.3892183	1.310407	2.022537
210	-596.2159	-744.7637	148.5478	0.1301061	1.240036	1.682186
216	-595.1261	-742.0995	146.9734	0.2933773	1.037998	2.53486
222	-595.0133	-742.008	146.9947	0.3190807	0.9424136	2.544275
228	-604.6492	-751.6968	147.0476	0.5043186	0.9999985	2.251225
234	-608.8201	-757.2764	148.4563	0.2827403	1.489783	1.210754
240	-596.8409	-744.9796	148.1388	0.2602386	1.571605	1.444997
246	-594.4356	-740.6008	146.1652	0.2793388	1.276455	2.904648
252	-593.2309	-741.1442	147.9133	0.3301119	1.410237	1.610035
258	-592.3561	-740.1155	147.7594	0.2533855	1.65228	1.677827
264	-601.9284	-749.6342	147.7058	0.6105851	1.65228	1.19982
270	-616.0265	-762.4594	146.4329	0.1823812	1.162634	2.973197
276	-600.4213	-746.1401	145.7188	0.4044514	0.8092621	3.288988
282	-599.8441	-746.7745	146.9304	0.2731058	1.04735	2.586196
288	-614.5091	-761.6462	147.1371	0.1457969	0.9211805	2.767122
294	-591.5726	-738.4866	146.914	0.156161	0.8614664	2.916718
300	-595.342	-741.5495	146.2075	0.1372527	1.145262	3.209432
306	-599.3974	-745.5366	146.1392	0.1343351	0.9712126	3.358732
312	-600.7442	-747.7057	146.9615	0.1149179	1.28996	2.720114
318	-593.7994	-740.864	147.0645	0.1482499	0.8962655	2.821178
324	-597.3487	-744.5407	147.192	0.07022016	1.089634	2.821178
330	-596.753	-745.097	148.344	0.08503588	1.198854	1.978826
336	-598.1645	-745.6687	147.5042	0.1701517	1.167553	2.333664
342	-601.4146	-750.0304	148.6158	0.03639184	1.205907	1.949874
348	-602.9755	-751.1495	148.174	0.348627	1.186831	1.553683
354	-597.8668	-746.1113	148.2445	0.1748626	1.242043	1.784413
360	-593.2771	-741.5402	148.2631	0.1742518	1.225428	1.784413
366	-595.652	-743.1088	147.4568	0.3811729	1.203051	1.99606
372	-596.6874	-744.2208	147.5334	0.3048373	1.155094	2.085277
378	-600.8043	-748.7641	147.9598	0.250933	1.502517	1.646173
384	-595.5891	-743.852	148.2629	0.267831	1.506072	1.384824
390	-596.5889	-744.6308	148.0418	0.267831	1.591983	1.48854
396	-585.2041	-733.4906	148.2865	0.2521576	1.244387	1.594308
402	-596.586	-744.2395	147.6535	0.3055016	1.123195	2.026
